Size of blocks: 1; Amount of blocks: 90000; Duration for sequential: 465; Duration for thread: 18415; Speed up: 0.0252512
Size of blocks: 2; Amount of blocks: 45000; Duration for sequential: 328; Duration for thread: 2570; Speed up: 0.127626
Size of blocks: 3; Amount of blocks: 30000; Duration for sequential: 329; Duration for thread: 1015; Speed up: 0.324138
Size of blocks: 4; Amount of blocks: 22500; Duration for sequential: 333; Duration for thread: 546; Speed up: 0.60989
Size of blocks: 5; Amount of blocks: 18000; Duration for sequential: 338; Duration for thread: 372; Speed up: 0.908602
Size of blocks: 6; Amount of blocks: 15000; Duration for sequential: 329; Duration for thread: 260; Speed up: 1.26538
Size of blocks: 7; Amount of blocks: 12900; Duration for sequential: 332; Duration for thread: 197; Speed up: 1.68528
Size of blocks: 8; Amount of blocks: 11400; Duration for sequential: 339; Duration for thread: 163; Speed up: 2.07975
Size of blocks: 9; Amount of blocks: 10200; Duration for sequential: 342; Duration for thread: 139; Speed up: 2.46043
Size of blocks: 10; Amount of blocks: 9000; Duration for sequential: 335; Duration for thread: 125; Speed up: 2.68
Size of blocks: 11; Amount of blocks: 8400; Duration for sequential: 338; Duration for thread: 115; Speed up: 2.93913
Size of blocks: 12; Amount of blocks: 7500; Duration for sequential: 346; Duration for thread: 108; Speed up: 3.2037
Size of blocks: 13; Amount of blocks: 7200; Duration for sequential: 340; Duration for thread: 100; Speed up: 3.4
Size of blocks: 14; Amount of blocks: 6600; Duration for sequential: 335; Duration for thread: 97; Speed up: 3.45361
Size of blocks: 15; Amount of blocks: 6000; Duration for sequential: 331; Duration for thread: 93; Speed up: 3.55914
Size of blocks: 16; Amount of blocks: 5700; Duration for sequential: 335; Duration for thread: 90; Speed up: 3.72222
Size of blocks: 17; Amount of blocks: 5400; Duration for sequential: 331; Duration for thread: 87; Speed up: 3.8046
Size of blocks: 18; Amount of blocks: 5100; Duration for sequential: 337; Duration for thread: 88; Speed up: 3.82955
Size of blocks: 19; Amount of blocks: 4800; Duration for sequential: 334; Duration for thread: 87; Speed up: 3.83908
Size of blocks: 20; Amount of blocks: 4500; Duration for sequential: 343; Duration for thread: 83; Speed up: 4.13253
Size of blocks: 21; Amount of blocks: 4500; Duration for sequential: 334; Duration for thread: 86; Speed up: 3.88372
Size of blocks: 22; Amount of blocks: 4200; Duration for sequential: 348; Duration for thread: 82; Speed up: 4.2439
Size of blocks: 23; Amount of blocks: 4200; Duration for sequential: 347; Duration for thread: 82; Speed up: 4.23171
Size of blocks: 24; Amount of blocks: 3900; Duration for sequential: 337; Duration for thread: 81; Speed up: 4.16049
Size of blocks: 25; Amount of blocks: 3600; Duration for sequential: 344; Duration for thread: 83; Speed up: 4.14458
Size of blocks: 26; Amount of blocks: 3600; Duration for sequential: 332; Duration for thread: 80; Speed up: 4.15
Size of blocks: 27; Amount of blocks: 3600; Duration for sequential: 340; Duration for thread: 80; Speed up: 4.25
Size of blocks: 28; Amount of blocks: 3300; Duration for sequential: 338; Duration for thread: 79; Speed up: 4.27848
Size of blocks: 29; Amount of blocks: 3300; Duration for sequential: 346; Duration for thread: 80; Speed up: 4.325
Size of blocks: 30; Amount of blocks: 3000; Duration for sequential: 332; Duration for thread: 79; Speed up: 4.20253
Size of blocks: 31; Amount of blocks: 3000; Duration for sequential: 339; Duration for thread: 78; Speed up: 4.34615
Size of blocks: 32; Amount of blocks: 3000; Duration for sequential: 334; Duration for thread: 80; Speed up: 4.175
Size of blocks: 33; Amount of blocks: 3000; Duration for sequential: 330; Duration for thread: 81; Speed up: 4.07407
Size of blocks: 34; Amount of blocks: 2700; Duration for sequential: 331; Duration for thread: 79; Speed up: 4.18987
Size of blocks: 35; Amount of blocks: 2700; Duration for sequential: 337; Duration for thread: 79; Speed up: 4.26582
Size of blocks: 36; Amount of blocks: 2700; Duration for sequential: 337; Duration for thread: 78; Speed up: 4.32051
Size of blocks: 37; Amount of blocks: 2700; Duration for sequential: 330; Duration for thread: 79; Speed up: 4.17722
Size of blocks: 38; Amount of blocks: 2400; Duration for sequential: 336; Duration for thread: 77; Speed up: 4.36364
Size of blocks: 39; Amount of blocks: 2400; Duration for sequential: 348; Duration for thread: 76; Speed up: 4.57895
Size of blocks: 40; Amount of blocks: 2400; Duration for sequential: 336; Duration for thread: 78; Speed up: 4.30769
Size of blocks: 41; Amount of blocks: 2400; Duration for sequential: 331; Duration for thread: 77; Speed up: 4.2987
Size of blocks: 42; Amount of blocks: 2400; Duration for sequential: 337; Duration for thread: 78; Speed up: 4.32051
Size of blocks: 43; Amount of blocks: 2100; Duration for sequential: 328; Duration for thread: 81; Speed up: 4.04938
